abnormality|body|height	HP:0000002
multicystic|kidney|dysplasia	HP:0000003
abnormality|female|internal|genitalia	HP:0000008
functional|abnormality|bladder	HP:0000009
recurrent|urinary|tract|infections	HP:0000010
neurogenic|bladder	HP:0000011
urinary|urgency	HP:0000012
hypoplasia|uterus	HP:0000013
abnormality|bladder	HP:0000014
bladder|diverticulum	HP:0000015
urinary|retention	HP:0000016
nocturia	HP:0000017
urinary|hesitancy	HP:0000019
urinary|incontinence	HP:0000020
megacystis	HP:0000021
abnormality|male|internal|genitalia	HP:0000022
inguinal|hernia	HP:0000023
prostatitis	HP:0000024
functional|abnormality|male|internal|genitalia	HP:0000025
male|hypogonadism	HP:0000026
azoospermia	HP:0000027
cryptorchidism	HP:0000028
testicular|atrophy	HP:0000029
testicular|gonadoblastoma	HP:0000030
epididymitis	HP:0000031
abnormality|male|external|genitalia	HP:0000032
ambiguous|genitalia|male	HP:0000033
hydrocele|testis	HP:0000034
abnormality|testis	HP:0000035
abnormality|penis	HP:0000036
male|pseudohermaphroditism	HP:0000037
epispadias	HP:0000039
enlarged|penis	HP:0000040
chordee	HP:0000041
absent|external|genitalia	HP:0000042
hypogonadotrophic|hypogonadism	HP:0000044
abnormality|scrotum	HP:0000045
scrotal|hypoplasia	HP:0000046
hypospadias	HP:0000047
bifid|scrotum	HP:0000048
shawl|scrotum	HP:0000049
hypoplastic|male|external|genitalia	HP:0000050
perineal|hypospadias	HP:0000051
urethral|atresia|male	HP:0000052
macroorchidism	HP:0000053
micropenis	HP:0000054
abnormality|female|external|genitalia	HP:0000055
abnormality|clitoris	HP:0000056
clitoromegaly	HP:0000057
abnormality|labia	HP:0000058
hypoplastic|labia|majora	HP:0000059
clitoral|hypoplasia	HP:0000060
ambiguous|genitalia|female	HP:0000061
ambiguous|genitalia	HP:0000062
fused|labia|minora	HP:0000063
hypoplastic|labia|minora	HP:0000064
labial|hypertrophy	HP:0000065
labial|hypoplasia	HP:0000066
urethral|atresia|female	HP:0000067
urethral|atresia	HP:0000068
abnormality|ureter	HP:0000069
ureterocele	HP:0000070
ureteral|stenosis	HP:0000071
hydroureter	HP:0000072
ureteral|duplication	HP:0000073
ureteropelvic|junction|obstruction	HP:0000074
renal|duplication	HP:0000075
vesicoureteral|reflux	HP:0000076
abnormality|kidney	HP:0000077
abnormality|genital|system	HP:0000078
abnormality|urinary|system	HP:0000079
abnormality|reproductive|system|physiology	HP:0000080
duplicated|collecting|system	HP:0000081
renal|insufficiency	HP:0000083
horseshoe|kidney	HP:0000085
ectopic|kidney	HP:0000086
renal|hypoplasia	HP:0000089
nephronophthisis	HP:0000090
abnormality|renal|tubule	HP:0000091
tubular|atrophy	HP:0000092
proteinuria	HP:0000093
abnormality|glomerulus	HP:0000095
glomerulosclerosis	HP:0000096
focal|segmental|glomerulosclerosis	HP:0000097
tall|stature	HP:0000098
glomerulonephritis	HP:0000099
nephrotic|syndrome	HP:0000100
polyuria	HP:0000103
renal|agenesis	HP:0000104
enlarged|kidneys	HP:0000105
renal|cyst	HP:0000107
renal|corticomedullary|cysts	HP:0000108
renal|dysplasia	HP:0000110
renal|juxtaglomerular|cell|hypertrophy/hyperplasia	HP:0000111
nephropathy	HP:0000112
polycystic|kidney|dysplasia	HP:0000113
proximal|tubulopathy	HP:0000114
renal|phosphate|wasting	HP:0000117
phenotypic|abnormality	HP:0000118
abnormality|genitourinary|system	HP:0000119
nephrocalcinosis	HP:0000121
unilateral|renal|agenesis	HP:0000122
nephritis	HP:0000123
renal|tubular|dysfunction	HP:0000124
pelvic|kidney	HP:0000125
hydronephrosis	HP:0000126
renal|salt|wasting	HP:0000127
renal|potassium|wasting	HP:0000128
abnormality|uterus	HP:0000130
uterine|leiomyoma	HP:0000131
menorrhagia	HP:0000132
gonadal|dysgenesis	HP:0000133
female|hypogonadism	HP:0000134
hypogonadism	HP:0000135
bifid|uterus	HP:0000136
abnormality|ovary	HP:0000137
ovarian|cyst	HP:0000138
uterine|prolapse	HP:0000139
abnormality|menstrual|cycle	HP:0000140
amenorrhea	HP:0000141
abnormality|vagina	HP:0000142
rectovaginal|fistula	HP:0000143
decreased|fertility	HP:0000144
transverse|vaginal|septum	HP:0000145
polycystic|ovaries	HP:0000147
vaginal|atresia	HP:0000148
ovarian|gonadoblastoma	HP:0000149
gonadoblastoma	HP:0000150
aplasia|uterus	HP:0000151
abnormality|head|neck	HP:0000152
abnormality|mouth	HP:0000153
wide|mouth	HP:0000154
oral|ulcer	HP:0000155
abnormality|tongue	HP:0000157
macroglossia	HP:0000158
abnormality|lip	HP:0000159
narrow|mouth	HP:0000160
median|cleft|lip	HP:0000161
glossoptosis	HP:0000162
abnormality|oral|cavity	HP:0000163
abnormality|teeth	HP:0000164
severe|periodontitis	HP:0000166
abnormality|gingiva	HP:0000168
gingival|fibromatosis	HP:0000169
microglossia	HP:0000171
abnormality|uvula	HP:0000172
abnormality|palate	HP:0000174
cleft|palate	HP:0000175
submucous|cleft|hard|palate	HP:0000176
abnormality|upper|lip	HP:0000177
abnormality|lower|lip	HP:0000178
thick|lower|lip|vermilion	HP:0000179
lobulated|tongue	HP:0000180
movement|abnormality|tongue	HP:0000182
difficulty|tongue|movements	HP:0000183
cleft|soft|palate	HP:0000185
broad|alveolar|ridges	HP:0000187
short|upper|lip	HP:0000188
narrow|palate	HP:0000189
abnormality|oral|frenula	HP:0000190
accessory|oral|frenulum	HP:0000191
bifid|uvula	HP:0000193
open|mouth	HP:0000194
lower|lip|pit	HP:0000196
abnormality|parotid|gland	HP:0000197
absence|stensen|duct	HP:0000198
tongue|nodules	HP:0000199
short|lingual|frenulum	HP:0000200
pierre-robin|sequence	HP:0000201
oral|cleft	HP:0000202
cleft|upper|lip	HP:0000204
pursed|lips	HP:0000205
glossitis	HP:0000206
triangular|mouth	HP:0000207
trismus	HP:0000211
gingival|overgrowth	HP:0000212
lip|telangiectasia	HP:0000214
thick|upper|lip|vermilion	HP:0000215
broad|secondary|alveolar|ridge	HP:0000216
xerostomia	HP:0000217
high|palate	HP:0000218
thin|upper|lip|vermilion	HP:0000219
velopharyngeal|insufficiency	HP:0000220
furrowed|tongue	HP:0000221
gingival|hyperkeratosis	HP:0000222
abnormality|taste|sensation	HP:0000223
decreased|taste|sensation	HP:0000224
gingival|bleeding	HP:0000225
tongue|telangiectasia	HP:0000227
oral|cavity|teleangiectasia	HP:0000228
gingivitis	HP:0000230
everted|lower|lip|vermilion	HP:0000232
thin|vermilion|border	HP:0000233
abnormality|head	HP:0000234
abnormality|fontanelles|cranial|sutures	HP:0000235
abnormality|anterior|fontanelle	HP:0000236
small|anterior|fontanelle	HP:0000237
hydrocephalus	HP:0000238
large|fontanelles	HP:0000239
abnormality|skull|size	HP:0000240
parietal|bossing	HP:0000242
trigonocephaly	HP:0000243
brachyturricephaly	HP:0000244
abnormality|sinuses	HP:0000245
sinusitis	HP:0000246
brachycephaly	HP:0000248
dense|calvaria	HP:0000250
microcephaly	HP:0000252
progressive|microcephaly	HP:0000253
acute|sinusitis	HP:0000255
macrocephaly	HP:0000256
wide|anterior|fontanel	HP:0000260
turricephaly	HP:0000262
oxycephaly	HP:0000263
abnormality|mastoid	HP:0000264
mastoiditis	HP:0000265
cranial|asymmetry	HP:0000267
dolichocephaly	HP:0000268
prominent|occiput	HP:0000269
delayed|cranial|suture|closure	HP:0000270
abnormality|face	HP:0000271
malar|flattening	HP:0000272
facial|grimacing	HP:0000273
small|face	HP:0000274
narrow|face	HP:0000275
long|face	HP:0000276
abnormality|mandible	HP:0000277
retrognathia	HP:0000278
coarse|facial|features	HP:0000280
facial|edema	HP:0000282
broad|face	HP:0000283
abnormality|ocular|region	HP:0000284
epicanthus	HP:0000286
increased|facial|adipose|tissue	HP:0000287
abnormality|philtrum	HP:0000288
broad|philtrum	HP:0000289
abnormality|forehead	HP:0000290
abnormality|facial|adipose|tissue	HP:0000291
loss|facial|adipose|tissue	HP:0000292
full|cheeks	HP:0000293
low|anterior|hairline	HP:0000294
doll-like|facies	HP:0000295
facial|hypotonia	HP:0000297
mask-like|facies	HP:0000298
oval|face	HP:0000300
abnormality|facial|musculature	HP:0000301
mandibular|prognathia	HP:0000303
abnormality|chin	HP:0000306
pointed|chin	HP:0000307
microretrognathia	HP:0000308
abnormality|midface	HP:0000309
round|face	HP:0000311
abnormality|orbital|region	HP:0000315
hypertelorism	HP:0000316
facial|myokymia	HP:0000317
smooth|philtrum	HP:0000319
bird-like|facies	HP:0000320
square|face	HP:0000321
short|philtrum	HP:0000322
facial|asymmetry	HP:0000324
triangular|face	HP:0000325
abnormality|maxilla	HP:0000326
hypoplasia|maxilla	HP:0000327
facial|hemangioma	HP:0000329
short|chin	HP:0000331
prominent|supraorbital|ridges	HP:0000336
broad|forehead	HP:0000337
hypomimic|face	HP:0000338
pugilistic|facies	HP:0000339
sloping|forehead	HP:0000340
narrow|forehead	HP:0000341
long|philtrum	HP:0000343
whistling|appearance	HP:0000346
micrognathia	HP:0000347
high|forehead	HP:0000348
widow's|peak	HP:0000349
small|forehead	HP:0000350
abnormality|outer|ear	HP:0000356
abnormal|location|ears	HP:0000357
posteriorly|rotated|ears	HP:0000358
abnormality|ear	HP:0000359
tinnitus	HP:0000360
pulsatile|tinnitus|(tympanic|paraganglioma)	HP:0000361
otosclerosis	HP:0000362
abnormality|earlobe	HP:0000363
hearing|abnormality	HP:0000364
hearing|impairment	HP:0000365
abnormality|nose	HP:0000366
low-set|posteriorly|rotated|ears	HP:0000368
low-set|ears	HP:0000369
abnormality|middle|ear	HP:0000370
acute|otitis|media	HP:0000371
abnormality|auditory|canal	HP:0000372
abnormality|cochlea	HP:0000375
incomplete|partition|cochlea|type|ii	HP:0000376
abnormality|pinna	HP:0000377
cupped|ear	HP:0000378
stapes|ankylosis	HP:0000381
abnormality|periauricular|region	HP:0000383
preauricular|skin|tag	HP:0000384
small|earlobe	HP:0000385
absent|earlobe	HP:0000387
otitis|media	HP:0000388
chronic|otitis|media	HP:0000389
thickened|helices	HP:0000391
lop|ear	HP:0000394
prominent|antihelix	HP:0000395
overfolded|helix	HP:0000396
prelingual|sensorineural|hearing|impairment	HP:0000399
macrotia	HP:0000400
stenosis|external|auditory|canal	HP:0000402
recurrent|otitis|media	HP:0000403
conductive|hearing|impairment	HP:0000405
sensorineural|hearing|impairment	HP:0000407
progressive|sensorineural|hearing|impairment	HP:0000408
mixed|hearing|impairment	HP:0000410
protruding|ear	HP:0000411
atresia|external|auditory|canal	HP:0000413
bulbous|nose	HP:0000414
abnormality|choanae	HP:0000415
slender|nose	HP:0000417
narrow|nasal|ridge	HP:0000418
abnormality|nasal|septum	HP:0000419
short|nasal|septum	HP:0000420
epistaxis	HP:0000421
abnormality|nasal|bridge	HP:0000422
