doc_id	relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation	gene_expectation	hpoterm_expectation	features	weights
SCPDFS_49538.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_49538.pdf_15_15_4_4_7_7_UNSUP	PAX6/HP:0000526|Aniridia	{4}	{7}	{Although,the,association,between,PAX6,mutations,and,aniridia,now,seems,incontrovertible,",",there,is,evidence,that,mutations,at,a,second,human,locus,",",AN2,",",may,be,responsible,for,some,cases,of,aniridia,.}	{"The second , which was detected as an RNA lacking an exon , appeared to be a splicing mutation resulting from an as yet undetected point mutation or very small deletion .","The product of the mutant RNA would lack part of the PAX6 homeodomain ."}	{"It remains to be determined whether","AN2 is a second aniridia gene , or has a more indirect effect on development of the condition ."}	0.982	0.89	0.984	{"WORD_SEQ_[mutation and]",POS_SEQ_[NNS_CC],VERB_DEP_PATH_[seem]_[nn-prep_between|mutation-nsubj|association@cop]_[prep_between-nsubj|association@cop],DEP_PATH_[nn-prep_between|mutation@prep_between],VERB_DEP_PATH_[be]_[nn-prep_between|mutation-nsubj|association-advcl|incontrovertible@]_[prep_between-nsubj|association-advcl|incontrovertible@],VERB_DEP_PATH_POS_[seem]_[nn-prep_between|NNS-nsubj|NN@cop]_[prep_between-nsubj|NN@cop],VERB_DEP_PATH_POS_[be]_[nn-prep_between|NNS-nsubj|NN-advcl|JJ@]_[prep_between-nsubj|NN-advcl|JJ@],DEP_PATH_POS_[nn-prep_between|NNS@prep_between]}	{3.387,-1.06848,0.25427,0.25427,0.25427,0.25427,0.25427,0.131684}
journal.pbio.0020316.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pbio.0020316.pdf_147_147_17_18_3_4_UNSUP	androgen_receptor/HP:0012125|Prostate cancer	{17,18}	{3,4}	{Treatment,for,hormone-dependent,prostate,cancers,focuses,primarily,on,reducing,androgen,levels,by,using,chemicals,that,compete,for,androgen,receptor,docking,rights,in,the,hormone-binding,pocket,of,the,ligand-binding,domain,",",or,LBD,.}	{"Robert Fletterick and colleagues set out to identify the \\" fu | | repertoire \\" of amino acid sequences that might conceivably consort with the androgen receptor .","Their ﬁndings help explain the unusual behavior of the androgen receptor during prostate cancer progression — a ﬁrst step toward developing new anticancer therapies ."}	{"( A ligand is a molecule , like the androgen hormone , that binds to a receptor . )","But cancer cells eventually circumvent these chemical assaults through increased levels of either androgen receptors or their coactivators , or through mutations that make androgen receptors immune to chemotherapy ."}	0.994	1	1	{INV_DEP_PATH_POS_[nn-prep_for|NNS-rcmod|VBP-dobj|NNS-prepc_by|VBG-prepc_on|VBG@prep_for-nsubj|NN],INV_VERB_DEP_PATH_[use]_[nn-prep_for|rights-rcmod|compete-dobj|chemical@]_[prep_for-nsubj|treatment@prepc_by-prepc_on|reduce],INV_DEP_PATH_[nn-prep_for|rights-rcmod|compete-dobj|chemical-prepc_by|use-prepc_on|reduce@prep_for-nsubj|treatment],INV_VERB_DEP_PATH_POS_[use]_[nn-prep_for|NNS-rcmod|VBP-dobj|NNS@]_[prep_for-nsubj|NN@prepc_by-prepc_on|VBG],INV_POS_SEQ_[VBZ_RB_IN_VBG_NN_NNS_IN_VBG_NNS_WDT_VBP_IN],"INV_WORD_SEQ_[focus primarily on reduce androgen level by use chemical that compete for]"}	{0.808558,0.808558,0.808558,0.808558,0.808558,0.808558}
journal.pone.0001931.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0001931.pdf_400_400_21_21_26_27_UNSUP	p63/HP:0000968|Ectodermal dysplasia	{21}	{26,27}	{Kantaputra,PN,",",Hamada,T,",",Kumchai,T,",",McGrath,JA,(,2003,),Heterozygous,mutation,in,the,SAIVI,domain,of,p63,underlies,Rapp,~,Hodgkin,ectodermal,dysplasia,.}	{"Cicero DO , Falconi 1V1 , Candi E , l\\\\/Iele S , Cadot B , et al. ( 2006 ) N1 \\\\ ’ IR structure of the p63 SAIVI domain and dynamical properties of G534V and T5371 ’ pathological mutants , identified in the AEC syndrome .","Cell Biochem Biophys 44 : 475 — 489 ."}	{"J Dent Res 82 : 433 — 437 .","Boccuni P , lV1acGrogan D , Scandura Jl \\\\ ’ I , Nimer SD ( 2003 ) The human L ( 3 ) NIBT polycoml ) group protein is a transcriptional repressor and interacts physically and functionally with TEL ( ETV6 ) ."}	0.956	0.978	1	{"WORD_SEQ_NER_[underlie PERSON ~ PERSON]",VERB_DEP_PATH_POS_[underlie]_[prep_of-prep_in|NN-dep|NN-dep|CD@]_[dobj@],DEP_PATH_POS_[prep_of-prep_in|NN-dep|NN-dep|CD@dobj],POS_SEQ_[VBZ_NNP_NNP_NNP],VERB_DEP_PATH_[underlie]_[prep_of-prep_in|domain-dep|mutation-dep|NUMBER@]_[dobj@],"WORD_SEQ_[underlie Rapp ~ Hodgkin]",DEP_PATH_[prep_of-prep_in|domain-dep|mutation-dep|NUMBER@dobj]}	{0.366974,0.366974,0.366974,0.366974,0.366974,0.366974,0.366974}
journal.pone.0022538.pdf	RELATION_GENEHPOTERM_journal.pone.0022538.pdf_98_98_26_26_30_31	IL-6/HP:0200119|Acute hepatitis	{26}	{30,31}	{This,elevation,of,plasma,IL-6,and,the,acute,phase,response,proteins,",",combined,with,the,increase,in,liver,mass,are,consistent,with,the,known,effects,of,IL-6,in,mediating,the,hepatic,acute,phase,response,[,"13,34,35,36,37",],.}	{"Serum levels of the IL-6 responsive acute phase reactants ﬁbrinogen , haptoglobin and Von Willebrand Factor were also markedly induced in response to the tumor .","Unlike in humans , C Reactive Protein ( CRP ) is not an acute phase protein in mice and was not elevated in cachexia ."}	{"These results in mice with C26 tumors parallel the association of the IL-6 and acute phase response with muscle wasting in cancer patients .","- o - Control 120 - * ~ - Moderate - In Severe"}	0.95	0.292	0.358	{DEP_PATH_[prep_of-prep_with|effect@amod-dobj|response-prepc_in|mediate],DEP_PATH_POS_[prep_of-prep_with|NNS@amod-dobj|NN-prepc_in|VBG],"WORD_SEQ_[in mediate the]",VERB_DEP_PATH_POS_[be]_[prep_of-prep_with|NNS@cop]_[amod-dobj|NN-prepc_in|VBG@cop],VERB_DEP_PATH_POS_[mediate]_[prep_of-prep_with|NNS@prepc_in]_[amod-dobj|NN@],VERB_DEP_PATH_[be]_[prep_of-prep_with|effect@cop]_[amod-dobj|response-prepc_in|mediate@cop],VERB_DEP_PATH_[mediate]_[prep_of-prep_with|effect@prepc_in]_[amod-dobj|response@],POS_SEQ_[IN_VBG_DT]}	{0.374579,0.374579,0.374579,0.374579,0.374579,0.374579,0.374579,0.151366}
journal.pone.0058673.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0058673.pdf_377_377_7_7_24_25_UNSUP	TRPV4/HP:0002652|Skeletal dysplasia	{7}	{24,25}	{Recently,",",it,has,been,reported,that,TRPV4,could,modulate,Ca2,+,inﬂux,and,muscle,fatigue,[,36,],and,is,furthermore,involved,in,skeletal,dysplasia,[,37,],.}	{"Other TRP family members have already been reported as functional channels in skeletal muscle .","Among them , the Transient Receptor Potential Canonical type 1 ( TRPC1 ) could operate as a SR Ca2 + leak channel in skeletal muscle [ 22 ] ."}	{"But unlike TRPV1 or TRPC1 , TRPV4 is localized in the sarcolemma in mouse muscle [ 38 ] .","Adding TRPV1 , we lengthen the list of biologically efficient channels for the muscle"}	0.948	0.442	0.944	{WORD_SEQ_[TOO_FAR_AWAY],VERB_DEP_PATH_[involve]_[nsubj-ccomp|modulate@conj_and]_[amod-prep_in|]@],VERB_DEP_PATH_POS_[report]_[nsubj-ccomp|VB@]_[amod-prep_in|NN-conj_and|VBN@],VERB_DEP_PATH_[have]_[nsubj-ccomp|modulate@aux]_[amod-prep_in|]-conj_and|involve@aux],VERB_DEP_PATH_[be]_[nsubj-ccomp|modulate@auxpass-conj_and|involve]_[amod-prep_in|]@auxpass],VERB_DEP_PATH_POS_[modulate]_[nsubj@]_[amod-prep_in|NN-conj_and|VBN@ccomp],DEP_PATH_[nsubj-ccomp|modulate@amod-prep_in|]-conj_and|involve],VERB_DEP_PATH_POS_[have]_[nsubj-ccomp|VB@aux]_[amod-prep_in|NN-conj_and|VBN@aux],VERB_DEP_PATH_POS_[involve]_[nsubj-ccomp|VB@conj_and]_[amod-prep_in|NN@],DEP_PATH_POS_[nsubj-ccomp|VB@amod-prep_in|NN-conj_and|VBN],VERB_DEP_PATH_POS_[be]_[nsubj-ccomp|VB@auxpass-conj_and|VBN]_[amod-prep_in|NN@auxpass],VERB_DEP_PATH_[be]_[nsubj-ccomp|modulate@auxpass]_[amod-prep_in|]-conj_and|involve@auxpass],VERB_DEP_PATH_POS_[be]_[nsubj-ccomp|VB@auxpass]_[amod-prep_in|NN-conj_and|VBN@auxpass],VERB_DEP_PATH_[modulate]_[nsubj@]_[amod-prep_in|]-conj_and|involve@ccomp],VERB_DEP_PATH_[report]_[nsubj-ccomp|modulate@]_[amod-prep_in|]-conj_and|involve@]}	{-3.11955,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516,0.421516}
journal.pone.0022538.pdf	RELATION_GENEHPOTERM_journal.pone.0022538.pdf_607_607_10_10_22_22	SAA1/HP:0004326|Cachexia	{10}	{22}	{C,",",Western,blotting,analysis,demonstrates,signiﬁcantly,increased,fibrinogen,and,SAA1,protein,levels,in,quadriceps,and,gastrocnemius,in,moderate,and,severe,C26,cachexia,.}	{"Data ( means : SEM ) are expressed as ng fibrinogen / pg protein .","* P < 0.05 , ** P < 0.01 , *** P < 0.001 ."}	{"* P < 0.05 , ** P < 0.01 , *** P < 0.001 .","doi :10.1371 / journa | ."}	0.942	0.112	0.194	{POS_SEQ_[NN_NNS_IN_NNS_CC_NNS_IN_JJ_CC_JJ_NN],DEP_PATH_POS_[conj_and-nn|NN-dobj|NNS@prep_in],DEP_PATH_[conj_and-nn|fibrinogen-dobj|level@prep_in],VERB_DEP_PATH_POS_[increase]_[conj_and-nn|NN-dobj|NNS@]_[prep_in@],"WORD_SEQ_[protein level in quadricep and gastrocnemius in moderate and severe c26]",VERB_DEP_PATH_[increase]_[conj_and-nn|fibrinogen-dobj|level@]_[prep_in@]}	{0.448341,0.448341,0.448341,0.448341,0.448341,0.448341}
SCPDFS_40273.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_40273.pdf_18_18_16_16_22_22	WAGR/HP:0000526|Aniridia	{16}	{22}	{The,3-Mb,contig,spans,the,central,region,of,deletions,encompassing,16,chromosomal,breakpoints,in,patients,with,WAGR,syndrome,(,Wilms,tumor,",",aniridia,",",genitourinary,malformation,",",mental,retardation,),",",and,its,construction,is,an,important,step,in,facilitating,functional,analysis,of,these,genes,.}	{"The contig starts from the catalase gene on the centromeric side and reaches beyond the PAX6 gene at the 11p13/p14 .1 boundary .","Additional smaller contigs on either side were identiﬁed , but still have to be linked up ."}	{"© 1998 Academic Press","IN TRO DU CTION"}	0.98	0.33	1	{"POS_SEQ_[NN_CD_NN_NN_,]","WORD_SEQ_[syndrome ( wilm tumor ,]","WORD_SEQ_NER_[syndrome NUMBER PERSON tumor ,]",DEP_PATH_POS_[nn-prep_with|NN-prep_in|NNS@nsubj-dep|NN],DEP_PATH_[nn-prep_with|syndrome-prep_in|patient@nsubj-dep|step],VERB_DEP_PATH_POS_[encompass]_[nn-prep_with|NN-prep_in|NNS@]_[nsubj-dep|NN@],VERB_DEP_PATH_[encompass]_[nn-prep_with|syndrome-prep_in|patient@]_[nsubj-dep|step@]}	{1.36863,1.22314,1.22314,0,0,0,0}
journal.pone.0104486.pdf	RELATION_GENEHPOTERM_journal.pone.0104486.pdf_680_680_22_22_29_30	BDNF/HP:0000819|Diabetes mellitus	{22}	{29,30}	{Han,X,",",Luo,Y,",",Zhang,X,",",Lv,C,",",Sun,X,",",et,al.,(,2013,),Rs4074l34,near,BDNF,gene,is,associated,with,type,2,diabetes,mellitus,in,Chinese,Han,population,independently,of,body,mass,index,.}	{"Dia1 ) eto1ogia 55 : 266042666 .","11 ."}	{"PLoS One 8 : e56898 .","12 ."}	0.918	0.852	1	{VERB_DEP_PATH_POS_[associate]_[nn-prep_near|NN-nsubjpass|NN@]_[prep_with@],DEP_PATH_POS_[nn-prep_near|NN-nsubjpass|NN@prep_with],VERB_DEP_PATH_POS_[be]_[nn-prep_near|NN-nsubjpass|NN@auxpass]_[prep_with@auxpass],POS_SEQ_[NN_VBZ_VBN_IN_NN_CD],"WORD_SEQ_NER_[gene be associate with type NUMBER]",VERB_DEP_PATH_[associate]_[nn-prep_near|gene-nsubjpass|rs4074l34@]_[prep_with@],DEP_PATH_[nn-prep_near|gene-nsubjpass|rs4074l34@prep_with],VERB_DEP_PATH_[be]_[nn-prep_near|gene-nsubjpass|rs4074l34@auxpass]_[prep_with@auxpass],"WORD_SEQ_[gene be associate with type 2]"}	{0.650779,0.650779,0.650779,0.629155,0,0,0,0,0}
journal.pone.0034348.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0034348.pdf_617_617_17_17_6_8_UNSUP	SNRPN/HP:0001508|Failure to thrive	{17}	{6,8}	{Mouse,models,of,"P\\\\/V",S,have,failure,to,thrive,and,is,negatively,regulated,by,the,paternal,expressed,SNRPN,which,results,in,postnatal,lethality,and,growth,retardation,.}	{"The lethality and growth retardation chromosome as a positive regulator for paternal-speciﬁc gene phenotypes seem to correlate with the dual role of the PWS-IC as expression .","the Snrpn promoter and as the IC regulator for imprinted genes at The maternally expressed gene UBE3A / Ube3 ' a is the AS gene the PWS / AS domain ."}	{"sense / UBE3 ' A antisense and Snrpn sense / Ube3a antisense tran - Maternal expression of the Snrpn sense / Ube3a antisense transcripts scripts derived from the SNRPN and Smpn promoters , respectively from the inserted human SNRPJV promoter complements one [ 14,30 ] .","On the wild-type maternal chromosome , silencing of the failure to thrive locus to rescue lethality , but is not able to Snrpn promoter results in expression of Ube3 ' a ( Figure 8A , c ) ."}	0.97	0.81	0.94	{INV_VERB_DEP_PATH_[regulate]_[dobj-partmod|express-agent|paternal@]_[dobj@conj_and],INV_VERB_DEP_PATH_POS_[regulate]_[dobj-partmod|VBN-agent|JJ@]_[dobj@conj_and],INV_VERB_DEP_PATH_[express]_[dobj@]_[dobj@partmod-agent|paternal-conj_and|regulate],"INV_WORD_SEQ_[and be negatively regulate by the paternal express]",INV_POS_SEQ_[CC_VBZ_RB_VBN_IN_DT_JJ_VBN],INV_VERB_DEP_PATH_POS_[express]_[dobj@]_[dobj@partmod-agent|JJ-conj_and|VBN],INV_VERB_DEP_PATH_[be]_[dobj-partmod|express-agent|paternal@auxpass]_[dobj@auxpass-conj_and|regulate],INV_DEP_PATH_[dobj-partmod|express-agent|paternal-conj_and|regulate@dobj],INV_DEP_PATH_POS_[dobj-partmod|VBN-agent|JJ-conj_and|VBN@dobj],INV_VERB_DEP_PATH_POS_[be]_[dobj-partmod|VBN-agent|JJ@auxpass]_[dobj@auxpass-conj_and|VBN],INV_VERB_DEP_PATH_[have]_[dobj-partmod|express-agent|paternal-conj_and|regulate@]_[dobj@],INV_VERB_DEP_PATH_POS_[have]_[dobj-partmod|VBN-agent|JJ-conj_and|VBN@]_[dobj@]}	{0.292166,0.292166,0.292166,0.292166,0.292166,0.292166,0.292166,0.292166,0.292166,0.292166,0.292166,0.292166}
journal.pone.0006161.pdf	RELATION_GENEHPOTERM_journal.pone.0006161.pdf_481_481_23_23_29_30	Dicer/HP:0001644|Dilated cardiomyopathy	{23}	{29,30}	{Chen,JF,",",lylurchison,EP,",",Tang,R,",",Callis,TE,",",Tatsuguchi,NI,",",et,al.,(,2008,),Targeted,deletion,of,Dicer,in,the,heart,leads,to,dilated,cardiomyopathy,and,heart,failure,.}	{"Cell 129 : 3034317 .","15 ."}	{"Proc Natl Acad Sci U S A 105 : 211142116 .","d PLoS ONE | www ."}	0.92	0.886	1	{DEP_PATH_[prep_of-dobj|deletion-partmod|target-nsubj|PERSON@xcomp],DEP_PATH_POS_[prep_of-dobj|NN-partmod|VBN-nsubj|NNP@xcomp],VERB_DEP_PATH_[target]_[prep_of-dobj|deletion@]_[xcomp@partmod-nsubj|PERSON],VERB_DEP_PATH_[lead]_[prep_of-dobj|deletion-partmod|target-nsubj|PERSON@]_[xcomp@],VERB_DEP_PATH_POS_[lead]_[prep_of-dobj|NN-partmod|VBN-nsubj|NNP@]_[xcomp@],POS_SEQ_[IN_DT_NN_VBZ_TO],VERB_DEP_PATH_POS_[target]_[prep_of-dobj|NN@]_[xcomp@partmod-nsubj|NNP],"WORD_SEQ_[in the heart lead to]"}	{0.283025,0.283025,0.283025,0.283025,0.283025,0.283025,0.283025,0.283025}
