doc_id	relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation	gene_expectation	hpoterm_expectation	features	weights
SCPDFS_368.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_368.pdf_382_382_2_2_6_6	p53/HP:0100242|Sarcoma	{2}	{6}	{Mechanisms,of,p53,loss,in,human,sarcomas,.}	{"30 , 962-968 .","Mulligan , L.M. , Matlashewski , G.J. , Scrable , H.J. , and Cavenee , W.K. ( 1990 ) ."}	{"Proc .","Natl. Acad ."}	0.772	0.15	0.938	{DEP_PATH_POS_[nn-prep_of|NN@prep_in],"WORD_SEQ_[loss in human]",POS_SEQ_[NN_IN_JJ],DEP_PATH_[nn-prep_of|loss@prep_in]}	{0.597549,0.483569,0.199886,0}
SCPDFS_46864.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_46864.pdf_124_124_16_16_20_22	POLG/HP:0000590|Progressive external ophthalmoplegia	{16}	{20,21,22}	{Science,289,",",782-785,8,Van,Goethem,",",G.,et,al.,(,2001,),Mutation,of,POLG,is,associated,with,progressive,external,ophthalmoplegia,characterized,by,mtDNA,deletions,.}	{"Genet .","28 , 223-231 7 Kaukonen , J. et al. ( 2000 ) Role of adenine nucleotide translocator 1 in mtDNA maintenance ."}	{"Nat .","Genet ."}	0.708	0.074	1	{"WORD_SEQ_[be associate with]",POS_SEQ_[VBZ_VBN_IN],DEP_PATH_[prep_of-rcmod|(-appos|G.-nsubjpass|Science@prep_with],VERB_DEP_PATH_POS_[associate]_[prep_of-rcmod|FW-appos|NNP-nsubjpass|NNP@]_[prep_with@],DEP_PATH_POS_[prep_of-rcmod|FW-appos|NNP-nsubjpass|NNP@prep_with],VERB_DEP_PATH_[associate]_[prep_of-rcmod|(-appos|G.-nsubjpass|Science@]_[prep_with@]}	{1.63926,-0.778523,0,0,0,0}
journal.pone.0001870.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0001870.pdf_615_615_30_30_33_37	HNF1A/HP:0004904|Maturity-onset diabetes of the young	{30}	{33,34,37}	{Ellard,S,",",Thomas,K,",",Edghill,EL,",",Owens,IVI,",",Ambye,L,",",et,al.,(,2007,),Partial,and,whole,gene,deletion,mutations,of,the,GCK,and,HNF1A,genes,in,maturity-onset,diabetes,of,the,young,.}	{"BiochemJ 342 : 3454352 .",.}	{"Diabetologia 50 : 231347 .","Veiga-da-Cunha l \\\\ ’ I , Courtois S , Nlichel A , Gosselain E , Van Schaftingen E ( 1996 ) Amino acid conservation in animal glucokinases ."}	0.796	0.95	0.986	{"WORD_SEQ_[gene in]",POS_SEQ_[NNS_IN],DEP_PATH_POS_[nn-prep_of|NNS-conj_and|NNS-dobj|CD@prep_in],DEP_PATH_[nn-prep_of|gene-conj_and|mutation-dobj|NUMBER@prep_in]}	{1.4523,-1.30742,0.725162,0.31308}
journal.pone.0014299.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0014299.pdf_7_7_37_37_31_31	CCL11/HP:0002099|Asthma	{37}	{31}	{Methodology/Principal,Findings,:,In,this,study,we,investigated,serum,samples,from,944,individuals,of,218,asthma,—,affected,families,by,a,multiplex,",",microsphere,based,system,detecting,at,high,sensitivity,eleven,asthma,associated,mediators,:,eotaxin,(,CCL11,),",",granulocyte,macrophage,stimulating,factor,(,GM-CSF,),",",interferon,gamma,(,IFNy,),",",interleukin-4,(,IL-4,),",",IL-5,",",IL-8,",",IL-10,",",IL-12,(,p40,),",",IL-13,",",IL-17,and,tumor,necrosis,factor,alpha,(,I,',NFol,),.}	{Abstract,"Background : Circulating cytokine patterns may be relevant for the diagnosis of asthma , for the discrimination of certain phenotypes , and prognostic factors for exacerbation of disease ."}	{"Single cytokine levels were largely similar between asthmatic and healthy individuals when analysing asthma as single disease entity .","Regulatory differences between parental and pediatric asthma were reflected by six of the eleven mediators analyzed ( eotaxin , IL-4 , IL-5 , IL-10 , IL-12 , TNFor ) ."}	0.722	0.96	0.964	{INV_DEP_PATH_[nn-dep|)-dobj|mediator-partmod|associate@],INV_DEP_PATH_POS_[nn-dep|NN-dobj|NNS-partmod|VBN@],INV_VERB_DEP_PATH_[associate]_[nn-dep|)-dobj|mediator@]_[@partmod],INV_VERB_DEP_PATH_POS_[associate]_[nn-dep|NN-dobj|NNS@]_[@partmod],"INV_WORD_SEQ_NER_[associate mediator : eotaxin NUMBER]",INV_POS_SEQ_[VBN_NNS_:_NN_CD],"INV_WORD_SEQ_[associate mediator : eotaxin (]"}	{0.276874,0.276874,0.276874,0.276874,0,0,0}
SCPDFS_43524.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_43524.pdf_677_677_22_22_29_30	MHS/HP:0002047|Malignant hyperthermia	{22}	{29,30}	{High,resolution,physical,mapping,of,four,microsatellite,repeat,markers,near,the,RYR1,locus,on,chromosome,19qI3,.1,and,apparent,exclusion,of,the,MHS,locus,from,this,region,in,two,malignant,hyperthermia,susceptible,families,.}	{"20 : 1170 .","Iles , D. E. , Segers , B. , Heytens , L. , Sengers , R. C. A. , and Wieringa , B. ( 19920 ) ."}	{"Genomics 14 : 749-754 .","Joslyn , G. , Carlson , M. , Thliveris , A. , Albertsen , H. , Gelbert , L. , Samowitz , W. , Groden , J. , Stevens , J. , Spirio , L. , Robertsen , M. , Sargent , L. , Krapcho , K. , Wolff , E. , Burt , R. , Hughes , J. P. , Warrington , J. , McPherson , J. , Wasmuth , J. , Le Paslier , D. , Abderrahim , H. , Cohen , D. , Leppert , M. , and White , R. ( 1991 ) ."}	0.772	0.052	0.988	{DEP_PATH_[nn-prep_of|locus@amod-prep_in|family],DEP_PATH_POS_[nn-prep_of|NN@amod-prep_in|NNS],"WORD_SEQ_NER_[locus from this region in NUMBER]",POS_SEQ_[NN_IN_DT_NN_IN_CD],"WORD_SEQ_[locus from this region in two]"}	{0.585678,-0.421699,0.352117,0.352117,0.352117}
journal.pone.0036690.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0036690.pdf_618_618_17_17_31_31	HERG/HP:0011675|Arrhythmia	{17}	{31}	{Langheinrich,U,",",Vacun,G,",",VVagner,T,(,2003,),Zebrafish,embryos,express,an,orthologue,of,HERG,and,are,sensitive,toward,a,range,of,QT,—,prolonging,drugs,inducing,severe,arrhythmia,.}	{"1 \\\\ Iilan DJ , Peterson TA , Ruskin JN , Peterson RT , lVIacRae CA ( 2003 ) Drugs that induce repolarization abnormalities cause bradycardia in zebrafish .","Circulation 107 : 135541358 ."}	{"Toxicol Appl Pharmacol 193 : 3704382 .","Presta 1 \\\\ ’ I , Dell ’ Era P , Nlitola S , Nloroni E , Ronca R , et al. ( 2005 ) Fibroblast growth factor / fibroblast growth factor receptor system in angiogenesis ."}	0.734	0.068	0.984	{DEP_PATH_POS_[prep_of-dobj|NN@dobj-xcomp|VBG-partmod|VBG-prep_of|NN-prep_toward|NN-conj_and|JJ],"WORD_SEQ_[and be sensitive toward a range of qt — prolong drug induce severe]",POS_SEQ_[CC_VBP_JJ_IN_DT_NN_IN_NN_CD_VBG_NNS_VBG_JJ],"WORD_SEQ_NER_[and be sensitive toward a range of qt NUMBER prolong drug induce severe]",DEP_PATH_[prep_of-dobj|orthologue@dobj-xcomp|induce-partmod|prolong-prep_of|qt-prep_toward|range-conj_and|sensitive]}	{0.196673,0.196673,0.196673,0.196673,0.196673}
SCPDFS_39036.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_39036.pdf_322_322_1_1_10_11	HESX1/HP:0100842|Septo-optic dysplasia	{1}	{10,11}	{Heterozygous,HESX1,mutations,associated,with,isolated,congenital,pituitary,hypoplasia,and,septo-optic,dysplasia,.}	{"4 .","Thomas , P. Q. , et al. ( 2001 ) ."}	{"Hum .","Mol ."}	0.78	0.824	0.992	{DEP_PATH_[nn-nsubj|mutation@prep_with],DEP_PATH_POS_[nn-nsubj|NNS@prep_with],VERB_DEP_PATH_[associate]_[nn-nsubj|mutation@]_[prep_with@],VERB_DEP_PATH_POS_[associate]_[nn-nsubj|NNS@]_[prep_with@],"WORD_SEQ_[mutation associate with isolate congenital pituitary hypoplasium and]",POS_SEQ_[NNS_VBN_IN_VBN_JJ_JJ_NN_CC]}	{1.22185,-0.855746,0.331035,0.244827,0.19821,0.19821}
journal.pone.0055031.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0055031.pdf_733_733_20_20_32_32	PLA2G6/HP:0001332|Dystonia	{20}	{32}	{Engel,LA,",",Jing,Z,",",O’Brien,DE,",",Sun,NI,",",Kotzbauer,PT,(,2010,),Catalytic,function,of,PLA2G6,is,impaired,by,mutations,associated,with,infantile,neuroaxonal,dystrophy,but,not,dystonia,~,parkinsonism,.}	{"Kotzbauer PT , Giasson BI , Kravitz AV , Golbe LI , Nlark lV1H , et al. ( 2004 ) Fibrillization of alpha ~ sy ' nuc1ein and tau in familial Parkinson ’s disease caused by the A53T alpha-synuclein mutation .","Exp Neurol 187 : 279 * 288 ."}	{"PLoS ONE 5 : el2897 .","Giasson BI , Duda JE , lV1urray IV , Chen Q Souza JlV1 , et al. ( 2000 ) Oxidative damage linked to neurodegeneration by selective alpha-synuclein nitration in synucleinopathy lesions ."}	0.704	0.198	0.954	{POS_SEQ_[VBZ_VBN_IN_NNS_VBN_IN_JJ_JJ_NN_CC_RB],DEP_PATH_POS_[prep_of-dep|NN-nsubjpass|NNP@nn-conj_negcc|NN-prep_with|NN-partmod|VBN-agent|NNS],DEP_PATH_[prep_of-dep|function-nsubjpass|ORGANIZATION@nn-conj_negcc|parkinsonism-prep_with|dystrophy-partmod|associate-agent|mutation],"WORD_SEQ_[be impair by mutation associate with infantile neuroaxonal dystrophy but not]"}	{0.200148,0.200148,0.200148,0.200148}
journal.pone.0017220.pdf	RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0017220.pdf_484_484_6_6_4_4	MLL/HP:0001909|Leukemia	{6}	{4}	{In,23,acute,lymphoblastic,leukemias,with,MLL,translocations,",",two,signatures,correlating,with,prognosis,were,found,[,30,],.}	{"— .","Y in cellular transformation ?"}	{"Top rank genes were HspCBF , an NF .","— ."}	0.798	0.824	1	{INV_POS_SEQ_[IN],INV_WORD_SEQ_[with],INV_DEP_PATH_[nn-prep_with|translocation@],INV_DEP_PATH_POS_[nn-prep_with|NNS@],INV_VERB_DEP_PATH_POS_[be]_[nn-prep_with|NNS-prep_in|NNS@auxpass]_[prep_in@auxpass],INV_VERB_DEP_PATH_POS_[find]_[nn-prep_with|NNS-prep_in|NNS@]_[prep_in@],INV_VERB_DEP_PATH_[be]_[nn-prep_with|translocation-prep_in|leukemia@auxpass]_[prep_in@auxpass],INV_VERB_DEP_PATH_[find]_[nn-prep_with|translocation-prep_in|leukemia@]_[prep_in@]}	{-1.42772,1.22758,0.947167,0.423622,0.201155,0,0,0}
SCPDFS_20182.pdf	RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_20182.pdf_201_201_27_27_31_31	ATM/HP:0001009|Telangiectasia	{27}	{31}	{Although,not,recognized,in,the,gene,ontology,",",the,ﬁve,member,cluster,is,enriched,for,genetic,diseases,:,Werner,syndrome,(,WRN,),",",ataxia,telangiectasia,(,ATM,),",",ataxia,telangiectasia,like,disorder,(,MRE11A,),",",Kabuki,syndrome,(,MLL2,),and,susceptibility,to,Alzheimer,disease,(,PAXIP1,),.}	{"Interacting proteins encoded by transcripts recovered in the screens with the UTRs from polyQ SCA mRNAs .","A. Interacting proteins from the ATXN1 UTR screen ."}	{"B. Interacting proteins from the screen with CACNA1A UTRs .","C. Clusters of interacting proteins from the ATXN3 UTR screen ."}	0.72	0.004	1	{DEP_PATH_POS_[dep-conj_and|NN@conj_and],"WORD_SEQ_NER_[NUMBER , ataxia]","POS_SEQ_[CD_,_NN]","WORD_SEQ_[) , ataxia]",VERB_DEP_PATH_POS_[enrich]_[dep-conj_and|NN-dep|NN-parataxis|NN@]_[conj_and-dep|NN-parataxis|NN@],VERB_DEP_PATH_[enrich]_[dep-conj_and|telangiectasium-dep|syndrome-parataxis|)@]_[conj_and-dep|syndrome-parataxis|)@],DEP_PATH_[dep-conj_and|telangiectasium@conj_and]}	{-0.9626,0.68488,0.580237,0.465072,0,0,0}
