relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_journal.pone.0067361.pdf_605_605_34_34_39_41	cadherin/HP:0002860|Squamous cell carcinoma	{34}	{39,40,41}	{Zhao,D,",",Tang,XF,",",Yang,K,",",LiuJY,",",l,"\\\\",’,Ia,XR,(,2012,),Over-expression,of,integrin,~,linked,kinase,correlates,with,aberrant,expression,of,Snail,",",E,~,cadherin,and,Ncadherin,in,oral,squamous,cell,carcinoma,:,implications,in,tumor,progression,and,metastasis,.}	{"Nluzio L Lo ( 2001 ) A possible role for the VVNT ~ 1 pathway in oral carcinogenesis .","Crit Rev Oral Biol l \\\\ ’ Ied 12 : 152 — 165 ."}	{"Clin Exp Nletastasis 29 : 957 — 969 ."}	0.662
RELATION_GENEHPOTERM_journal.pone.0049717.pdf_371_371_30_30_43_44	interferon/HP:0001402|Hepatocellular carcinoma	{30}	{43,44}	{Yeo,VV,",",lVlok,TS,",",Zee,B,",",Leung,TVV,",",Lai,PB,",",et,al.,(,2005,),A,randomized,phase,III,study,of,doxorubicin,versus,cisp1atin,/,interferon,a_lpha-2b,/,doXorubicin,/,ﬂuorouracil,(,PIAF,),combination,chemotherapy,for,unresectable,hepatocellular,carcinoma,.}	{"Rossi L , Zoratto F , Papa A , Iodice F , Nlinozzi l \\\\ ’ I , et al. ( 2010 ) Current approach in the treatment of hepatocellular carcinoma .","VVorld J Gastrointest Oncol 2 : 348 — 359 ."}	{"j Natl Cancer Inst 97 : 153241538 .","Sia D , Villanueva A ( 2011 ) Signaling pathways in hepatocellular carcinoma ."}	0.502
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0043251.pdf_8_8_7_7_17_18_UNSUP	RP1/HP:0000510|Retinitis pigmentosa	{7}	{17,18}	{Mutations,in,the,retinitis,pigmentosa,1,(,RP1,),gene,are,a,common,cause,of,autosomal,dominant,retinitis,pigmentosa,(,adRP,),",",and,have,also,been,found,to,cause,autosomal,recessive,RP,(,arRP,),in,a,few,families,.}	{"Gund Laboratory for the Study of Retinal Degenerations , Ocular Genomics Institute , Department of Ophthalmology , Massachusetts Eye and Ear Inﬁrmary , Boston , Massachusetts , United States of America , 2Department of Human Genetics , Radboud University Nijmegen Medical Centre , Nijmegen , The Netherlands , 3Department of Ophthalmology , Radboud University Nijmegen Medical Centre , Nijmegen , The Netherlands , 4Nijmegen Centre for Molecular Life Sciences , Radboud University Nijmegen Medical Centre , Nijmegen , The Netherlands , 5The Rotterdam Eye Hospital , Rotterdam , The Netherlands",Abstract}	{"The 33 dominant mutations and 6 recessive RP1 mutations identiﬁed to date are all nonsense or frameshift mutations , and almost exclusively ( 38 out of 39 ) are located in the 4 ”‘ and ﬁnal exon of RP1 .","To better understand the underlying disease mechanisms of and help develop therapeutic strategies for RP1 disease , we performed a series of human genetic and animal studies using gene targeted and transgenic mice ."}	0.822
RELATION_GENEHPOTERM_journal.pone.0025826.pdf_77_77_33_33_19_21	NF/HP:0002860|Squamous cell carcinoma	{33}	{19,20,21}	{"\\\\",/,Ve,could,elicit,NF-KB,activation,in,endothelial,cells,when,treated,by,conditioned,media,from,head,and,neck,squamous,cell,carcinoma,(,HNSCC,),cell,lines,expressing,Sema4D,and,demonstrate,activation,of,NF,-,KB,in,vivo,in,a,tumor,xenograft,model,.}	{"Here we show that NF-KB and its pro-angiogenic effector IL-8 are activated downstream of PlexinB1 .","In endothelial cells , this response occurred following treatment with Sema4D and was necessary for chemotaxis , capillary tube formation and resistance to apoptosis ."}	{"Taken together , these results demonstrate further versatility in plexin signaling that may hint at new diagnostic and therapeutic approaches in the anti-angiogenic treatment of some cancers .",Results}	0.534
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0097320.pdf_540_540_28_28_38_38_UNSUP	NF2/HP:0002888|Ependymoma	{28}	{38}	{Begnami,KID,",",Palau,1,"\\\\",’,l,",",Rushing,EJ,",",Santi,1,"\\\\",’,1,",",Quezado,1,"\\\\",’,I,(,2007,),Evaluation,of,NF2,gene,deletion,in,sporadic,schwannomas,",",meningiomas,",",and,ependymomas,by,chromogenic,in,situ,hybridization,.}	{"Neurology 1 : 267 ~ 270 .","10 ."}	{"Hum Pathol 9 : 1345 * 1350 .","11 ."}	0.858
RELATION_GENEHPOTERM_SUP_MAP_journal.pbio.0020358.pdf_105_105_11_11_2_2_UNSUP	VHL/HP:0001297|Stroke	{11}	{2}	{The,broad,strokes,ofVHL,action,have,been,out,|,ined,:,VHL,is,a,ubiquitin,ligase,",",an,enzyme,that,targets,proteins,for,destruction,.}	{"The number of proteins produced by a cell varies , but scientists estimate that the human genome produces some 100,000 proteins , and with thousands of proteins likely to be active in a single cell , it 's inevitable that the molecular components of cellular pathways overlap .","It is thought that this may be the case for a tumor suppressor named VHL ( after its role in von Hippel-Lindau disease , an inherited cancer syndrome that predisposes affected individuals to kidney and vascular tumors ) ."}	{"VH L 's best characterized target is a transcription factor called hypoxia-inducible factor 1 ( HIF-1 ) .","When oxygen levels drop below norma | ."}	0.972
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0067192.pdf_42_42_28_28_3_3_UNSUP	insulin/HP:0003074|Hyperglycemia	{28}	{3}	{In,addition,",",hyperglycemia,increases,the,expression,of,RAS,components,in,pancreatic,islets,",",which,leads,to,insulin,secretion,modulation,in,beta,cells,",",decreased,adiponectin,",",impaired,insulin,sensitivity,in,target,tissues,[,11,],",",inhibited,GLUT4,translocation,and,increased,levels,of,reactive,oxygen,species,",",inﬂammation,",",and,ectopic,fat,storage,[,12,],.}	{"Furthermore , a large body of evidence indicates that RAS activation has been closely correlated to both insulin resistance and beta cell dysfunction [ 9 ] .","The mechanism behind this deleterious effect appears to be related to the negative regulation , exerted by Ang II through AT1R , of several steps of the insulin signaling cascade [ 10 ] ."}	{"The increase in the ACE2/Ang ( 1-7 ) / Mas receptor axis could be associated with diminished insulin resistance by inducing the activation of insulin signaling pathways and counteracting the inhibitory effects of ACE/Ang II/AT1R [ 7 ] .","ACE2 gene therapy improves glycemic control in diabetic mice through a mechanism mediated by the Ang ( 1-7 ) / Mas receptor because of its proven ability to potentiate the action of bradykinin [ 13 ] ."}	0.51
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0102656.pdf_279_279_22_22_6_7_UNSUP	CBS/HP:0100543|Cognitive impairment	{22}	{6,7}	{present,ﬁndings,suggest,that,the,overall,cognitive,impairment,observed,in,our,patients,may,reﬂect,the,widespread,pathology,common,to,both,bvFTD,and,CBS,",",whereas,the,impairment,of,speciﬁc,subdomains,of,the,DRS-2,or,the,NPI,results,from,the,involvement,of,region,speciﬁc,cortico-subcortical,circuits,[,21,],.}	{"Kertesz A , Martinez-Lage P , Davidson W , Muﬁoz DG ( 2000 ) The cortieobasal degeneration syndrome overlaps progressive aphasia and frontotemporal dementia .","Neurology 55 : 13684375 ."}	{"Author Contributions Conceived and designed the experiments : FTM ROS JG JM RZ .","Performed the experiments : FTM IEB AC MT. Analyzed the data : FTM ROSjl\\\\/IJG ."}	0.806
RELATION_GENEHPOTERM_journal.pone.0075709.pdf_559_559_28_29_35_36	androgen_receptor/HP:0003251|Male infertility	{28,29}	{35,36}	{Thangaraj,K,",",Joshi,1,"\\\\",’,IB,",",Reddy,AG,",",Gupta,NJ,",",Chakravarty,B,",",et,al.,(,2002,),CAG,repeat,expansion,in,the,androgen,receptor,gene,is,not,associated,with,male,infertility,in,Indian,populations,.}	{"Dasgupta S , Sirisha PV , Neelaveni K , Anuradha K , Reddy AG , et al. ( 2010 ) Androgen receptor CAG repeat polymorphism and epigenetic inﬂuence among the south Indian women with Polycystic Ovary Syndrome .","PLoS One 5 : el240l ."}	{"J Androl 23 : 8l5 * 8l8 .","Radian S , Baculescu N , Aﬂorei D , Gussi I , Vladoiu S , et al. ( 2010 ) CAG repeat alleles of the androgen receptor are associated with polycystic ovary syndrome ( PCOS ) in the Romanian population ."}	0.452
RELATION_GENEHPOTERM_journal.pone.0084016.pdf_69_69_3_3_8_9	PEDF/HP:0000855|Insulin resistance	{3}	{8,9}	{Since,evidence,showed,PEDF,was,positive,related,with,insulin,resistance,",",we,hypothesize,that,insulin,treatment,may,down-regulate,PEDF,expression,and,then,lead,to,the,improved,insulin,sensitivity,.}	{"However , it is unknown if PEDF is involved in the improved insulin sensitivity after insulin therapy .","Thus , we examined PEDF response to insulin both in type 2 diabetic patients and diabetic models ."}	{"It ‘ s the first time to investigate whether insulin treatment could affect PEDF expression in serum and adipose tissue and to explore the mechanisms through which insulin action regulates PEDF .","To address this hypothesis , we conducted studies in human with type 2 diabetes , animal models and adipocytes ."}	0.232
