doc_id	relation_id	relation_name	gene_words	hpoterm_words	words
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_54_54_2_2_15_15	TMP/HP:0009733|Glioma	{2}	{15}	{Therefore,",",TMP,might,be,a,potential,therapeutic,candidate,for,the,treatment,of,resistant,malignant,gliomas,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_478_478_13_13_43_43	R1/HP:0100843|Glioblastoma	{13}	{43}	{Kioi,1,"\\\\",’,I,",",Vogel,H,",",Schultz,G,",",Hoffman,R1,"\\\\",’,I,",",Brown,J1,"\\\\",’,I,",",et,al.,(,2010,),Inhil,),ition,of,vasculogenesis,",",but,not,angiogenesis,",",prevents,the,recurrence,of,glioblastoma,after,irradiation,in,mice,",",ClinJ,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_7_7_7_7_10_10	TMP/HP:0009733|Glioma	{7}	{10}	{In,a,previous,study,we,showed,that,TMP,—,mediated,glioma,suppression,and,neural,protection,involves,the,inhibition,of,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_7_7_19_19_10_10	CXCR4/HP:0009733|Glioma	{19}	{10}	{In,a,previous,study,we,showed,that,TMP,—,mediated,glioma,suppression,and,neural,protection,involves,the,inhibition,of,CXCR4,expression,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_12_12_3_3_6_7	TMP/HP:0011496|Corneal neovascularization	{3}	{6,7}	{In,addition,",",TMP,signiﬁcantly,suppresses,corneal,neovascularization,in,a,rat,model,of,corneal,alkali,burn,injury,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_17_17_2_2_12_13	TMP/HP:0002206|Pulmonary fibrosis	{2}	{12,13}	{Moreover,",",TMP,treatment,significantly,attenuates,b,|,eomycin,—,induced,rat,pulmonary,fibrosis,",",while,immunofluorescence,shows,a,notably,decreased,amount,of,CXCR4,—,positive,cells,in,the,TMP,—,treated,group,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_17_17_23_23_12_13	CXCR4/HP:0002206|Pulmonary fibrosis	{23}	{12,13}	{Moreover,",",TMP,treatment,significantly,attenuates,b,|,eomycin,—,induced,rat,pulmonary,fibrosis,",",while,immunofluorescence,shows,a,notably,decreased,amount,of,CXCR4,—,positive,cells,in,the,TMP,—,treated,group,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_17_17_29_29_12_13	TMP/HP:0002206|Pulmonary fibrosis	{29}	{12,13}	{Moreover,",",TMP,treatment,significantly,attenuates,b,|,eomycin,—,induced,rat,pulmonary,fibrosis,",",while,immunofluorescence,shows,a,notably,decreased,amount,of,CXCR4,—,positive,cells,in,the,TMP,—,treated,group,.}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_48_48_4_4_45_45	TMP/HP:0009733|Glioma	{4}	{45}	{chuanxiong,",","2,3,5,6-tetramethylpyrazine",(,TMP,),",",was,ﬁrst,extracted,Moreover,",",using,a,g1i0ma_neumna1,C0_Cu1turing,System,’,Wang,in,1973,[,91,The,Soluble,Salts,“,mm6,‘,hY1PYmZi,“,6,h,‘,/,drochlmide,et,al.,conﬁrmed,that,TMP,inhibited,the,viability,of,glioma,cells}
journal.pone.0088176.pdf	RELATION_GENEHPOTERM_journal.pone.0088176.pdf_48_48_40_40_45_45	TMP/HP:0009733|Glioma	{40}	{45}	{chuanxiong,",","2,3,5,6-tetramethylpyrazine",(,TMP,),",",was,ﬁrst,extracted,Moreover,",",using,a,g1i0ma_neumna1,C0_Cu1turing,System,’,Wang,in,1973,[,91,The,Soluble,Salts,“,mm6,‘,hY1PYmZi,“,6,h,‘,/,drochlmide,et,al.,conﬁrmed,that,TMP,inhibited,the,viability,of,glioma,cells}
