doc_id	relation_id	relation_name	gene_words	hpoterm_words	words	expectation
journal.pone.0005251.pdf	RELATION_GENEHPOTERM_journal.pone.0005251.pdf_394_394_31_31_40_40	GRM3/HP:0100753|Schizophrenia	{31}	{40}	{Harrison,P,],",",Lyon,L,",",Sartorius,L,],",",Burnet,PVV,",",Lane,TA,(,2008,),The,group,II,metabotropic,glutamate,receptor,3,(,mGluR3,",",mGlu3,",",GRM3,),:,expression,",",function,and,involvement,in,schizophrenia,.}	0.462
journal.pone.0085716.pdf	RELATION_GENEHPOTERM_journal.pone.0085716.pdf_292_292_10_10_23_23	S1/HP:0100602|Preeclampsia	{10}	{23}	{Gong,J,",",Savitz,DA,",",Stein,CR,",",Engel,S1,"\\\\",’,I.,(,2012,),1,"\\\\",’,Iaternal,ethnicity,and,preeclampsia,in,New,York,City,",",199542003,.}	0.512
journal.pone.0104461.pdf	RELATION_GENEHPOTERM_journal.pone.0104461.pdf_187_187_17_17_4_7	FDP/HP:0001928|Abnormality of coagulation	{17}	{4,7}	{(,Table,5,),Abnormalities,of,the,coagulation,proﬁle,included,hyperﬁbrinogenemia,(,28.7,%,),",",elevated,FDP,(,41.1,%,),",",elevated,D-dimer,(,44.4,%,),",",abnormal,protein,S,(,29.7,%,),",",abnormal,protein,C,(,24.2,%,),",",and,decreased,antithrombin,III,(,22.2,%,),in,patients,with,ONFH,.}	0.712
SCPDFS_37767.pdf	RELATION_GENEHPOTERM_SCPDFS_37767.pdf_103_103_27_27_19_19	JUN/HP:0100242|Sarcoma	{27}	{19}	{S,1.48,E,—,04,0.32,201466,",",s,",",at,1.47,E,—,05,0.39,v,—,jun,sarcoma,virus,17,oncogene,homolog,(,avian,),JUN,NM_002228,GI_44890066,.}	0.656
journal.pone.0053431.pdf	RELATION_GENEHPOTERM_journal.pone.0053431.pdf_31_31_27_27_5_5	PUMA/HP:0002045|Hypothermia	{27}	{5}	{Earlier,studies,have,found,that,hypothermia,decreases,P53,protein,levels,in,the,brain,which,activates,genes,of,apoptosis,and,pro-apoptotic,proteins,including,Bak,",",Bax,",",and,PUMA,.}	0.436
journal.pone.0084927.pdf	RELATION_GENEHPOTERM_journal.pone.0084927.pdf_52_52_5_5_17_17	CTLA4/HP:0002861|Melanoma	{5}	{17}	{For,example,",",mAbs,to,CTLA4,have,antitumor,efﬁcacy,with,prolonged,overall,survival,in,patients,with,metastatic,melanoma,",",and,an,anti-CTLA4,mAb,is,clinically,approved,by,the,FDA,[,14,],.}	0.466
journal.pcbi.1001024.pdf	RELATION_GENEHPOTERM_journal.pcbi.1001024.pdf_127_127_17_17_23_25	IL-8/HP:0008711|Benign prostatic hyperplasia	{17}	{23,24,25}	{IF,N-y,and,IL-17,secreted,by,activated,CD4,+,cells,have,been,reported,to,up-regulate,IL-6,",",IL-8,",",and,CXCLIO,production,by,benign,prostatic,hyperplasia,cells,[,21,],",",suggesting,a,positive,feedback,loop,that,ampliﬁes,inﬂammation,in,prostatic,conditions,.}	0.654
journal.pone.0034115.pdf	RELATION_GENEHPOTERM_journal.pone.0034115.pdf_521_521_25_25_21_21	IL-6/HP:0100753|Schizophrenia	{25}	{21}	{Gilmore,JH,",",Fredrik,Jarskog,L,",",V,adla_rnudi,S,",",Lauder,JNI,(,2004,),Prenatal,infection,and,risk,for,schizophrenia,:,IL-lbeta,",",IL-6,",",and,TNFalpha,inhibit,cortical,neuron,dendrite,development,.}	0.872
journal.pone.0002020.pdf	RELATION_GENEHPOTERM_journal.pone.0002020.pdf_289_289_24_24_29_30	SIRT1/HP:0003003|Colon cancer	{24}	{29,30}	{Together,",",our,data,sheds,light,on,the,ability,of,SIRT1,to,inhibit,B-catenin,activity,and,provides,mechanistic,insight,into,the,antitumorigenic,effects,of,SIRT1,in,a,well,characterized,colon,cancer,model,.}	0.714
journal.pone.0081507.pdf	RELATION_GENEHPOTERM_journal.pone.0081507.pdf_347_347_8_8_18_21	MAR/HP:0000479|Abnormality of the retina	{8}	{18,21}	{Two,LM,histopathological,studies,of,postmortem,retinas,of,MAR,patients,had,conflicting,results,;,one,reported,no,anatomic,abnormalities,throughout,the,retina,[,6,],and,the,other,reported,a,marked,reduction,in,the,number,of,nuclei,in,the,INL,[,32,],.}	0.828
